,District,Mandal,Date,temp_min (⁰C),temp_max (⁰C)
182,Adilabad,Adilabad (Urban),2019-04-01,25.3,42.5
183,Adilabad,Adilabad (Urban),2019-04-02,23.9,42.2
184,Adilabad,Adilabad (Urban),2019-04-03,27.0,41.5
185,Adilabad,Adilabad (Urban),2019-04-04,28.0,41.4
186,Adilabad,Adilabad (Urban),2019-04-05,25.9,40.6
187,Adilabad,Adilabad (Urban),2019-04-06,28.5,39.2
188,Adilabad,Adilabad (Urban),2019-04-07,27.7,41.5
189,Adilabad,Adilabad (Urban),2019-04-08,27.9,41.7
190,Adilabad,Adilabad (Urban),2019-04-09,29.0,42.2
191,Adilabad,Adilabad (Urban),2019-04-10,29.3,42.1
192,Adilabad,Adilabad (Urban),2019-04-11,30.2,42.2
193,Adilabad,Adilabad (Urban),2019-04-12,30.6,43.2
194,Adilabad,Adilabad (Urban),2019-04-13,28.9,42.4
195,Adilabad,Adilabad (Urban),2019-04-14,28.2,42.5
196,Adilabad,Adilabad (Urban),2019-04-15,31.5,43.6
197,Adilabad,Adilabad (Urban),2019-04-16,23.6,41.4
198,Adilabad,Adilabad (Urban),2019-04-17,23.8,39.0
199,Adilabad,Adilabad (Urban),2019-04-18,26.0,38.0
200,Adilabad,Adilabad (Urban),2019-04-19,26.0,39.3
201,Adilabad,Adilabad (Urban),2019-04-20,27.8,40.8
202,Adilabad,Adilabad (Urban),2019-04-21,28.4,40.6
203,Adilabad,Adilabad (Urban),2019-04-22,29.0,40.5
204,Adilabad,Adilabad (Urban),2019-04-23,27.4,39.4
205,Adilabad,Adilabad (Urban),2019-04-24,28.2,42.0
206,Adilabad,Adilabad (Urban),2019-04-25,30.5,42.6
207,Adilabad,Adilabad (Urban),2019-04-26,31.5,43.6
208,Adilabad,Adilabad (Urban),2019-04-27,32.6,44.5
209,Adilabad,Adilabad (Urban),2019-04-28,33.0,44.5
210,Adilabad,Adilabad (Urban),2019-04-29,32.4,45.2
211,Adilabad,Adilabad (Urban),2019-04-30,31.8,44.5
212,Adilabad,Adilabad (Urban),2019-05-01,29.8,44.5
213,Adilabad,Adilabad (Urban),2019-05-02,30.1,43.7
214,Adilabad,Adilabad (Urban),2019-05-03,29.0,44.6
215,Adilabad,Adilabad (Urban),2019-05-04,29.6,40.5
216,Adilabad,Adilabad (Urban),2019-05-05,29.7,42.0
217,Adilabad,Adilabad (Urban),2019-05-06,27.0,42.9
218,Adilabad,Adilabad (Urban),2019-05-07,30.1,43.0
219,Adilabad,Adilabad (Urban),2019-05-08,30.9,44.6
220,Adilabad,Adilabad (Urban),2019-05-09,30.6,44.1
221,Adilabad,Adilabad (Urban),2019-05-10,28.7,43.3
222,Adilabad,Adilabad (Urban),2019-05-11,29.9,43.3
223,Adilabad,Adilabad (Urban),2019-05-12,31.5,42.8
224,Adilabad,Adilabad (Urban),2019-05-13,31.0,43.5
225,Adilabad,Adilabad (Urban),2019-05-14,28.6,42.7
