,District,Mandal,Date,temp_min (⁰C),temp_max (⁰C)
0,Adilabad,Bheempoor,2019-10-01,23.7,33.4
1,Adilabad,Jainad,2019-10-01,23.6,32.55
2,Adilabad,Bela,2019-10-01,24.2,33.2
3,Adilabad,Gadiguda,2019-10-01,23.7,32.6
4,Adilabad,Narnoor,2019-10-01,23.0,31.0
5,Adilabad,Inderavelly,2019-10-01,23.2,33.4
6,Adilabad,Gudihathnur,2019-10-01,22.1,33.3
7,Adilabad,Adilabad Rural,2019-10-01,24.6,35.2
8,Adilabad,Adilabad Urban,2019-10-01,23.95,32.6
9,Adilabad,Mavala,2019-10-01,22.4,31.7
10,Adilabad,Tamsi,2019-10-01,22.9,35.0
11,Adilabad,Talamadugu,2019-10-01,23.15,32.15
12,Adilabad,Bazarhathnoor,2019-10-01,22.4,31.5
13,Adilabad,Boath,2019-10-01,22.45,31.65
14,Adilabad,Neradigonda,2019-10-01,22.6,33.9
15,Adilabad,Ichoda,2019-10-01,22.4,32.6
16,Adilabad,Sirikonda,2019-10-01,22.6,31.8
17,Adilabad,Utnur,2019-10-01,22.3,29.4
18,Komaram Bheem-Asifabad,Jainoor,2019-10-01,23.1,29.4
19,Komaram Bheem-Asifabad,Sirpur_U,2019-10-01,22.3,28.7
20,Komaram Bheem-Asifabad,Lingapur,2019-10-01,23.1,29.9
21,Komaram Bheem-Asifabad,Tiryani,2019-10-01,22.7,31.4
22,Komaram Bheem-Asifabad,Rebbana,2019-10-01,24.0,32.9
23,Komaram Bheem-Asifabad,Asifabad,2019-10-01,22.9,32.9
24,Komaram Bheem-Asifabad,Kerameri,2019-10-01,22.9,35.6
25,Komaram Bheem-Asifabad,Wankdi,2019-10-01,24.2,35.9
26,Komaram Bheem-Asifabad,Kagaznagar,2019-10-01,24.6,33.15
27,Komaram Bheem-Asifabad,Sirpur_T,2019-10-01,24.6666666666667,33.2
28,Komaram Bheem-Asifabad,Kouthala,2019-10-01,24.4,32.8
29,Komaram Bheem-Asifabad,Chintalamanepally,2019-10-01,24.3,31.4
30,Komaram Bheem-Asifabad,Bejjur,2019-10-01,24.7,32.2
31,Komaram Bheem-Asifabad,Penchikalpet,2019-10-01,24.9,32.7
32,Komaram Bheem-Asifabad,Dahegaon,2019-10-01,24.9,32.6
33,Mancherial,Jannaram,2019-10-01,22.65,31.8
34,Mancherial,Dandepalle,2019-10-01,23.2,32.55
35,Mancherial,Luxettipet,2019-10-01,23.5,31.4
36,Mancherial,Hajipur,2019-10-01,24.2,31.4
37,Mancherial,Kasipet,2019-10-01,22.4,30.8
38,Mancherial,Tandur,2019-10-01,23.8,30.1
39,Mancherial,Bheemini,2019-10-01,23.8,29.5
40,Mancherial,Kannepalli,2019-10-01,23.1,29.45
41,Mancherial,Vemanpalle,2019-10-01,23.3,31.9
42,Mancherial,Nennal,2019-10-01,24.3,29.7
43,Mancherial,Bellampalle,2019-10-01,22.4,29.5
44,Mancherial,Mandamarri,2019-10-01,24.1,32.3
45,Mancherial,Mancherial,2019-10-01,23.8,31.8
46,Mancherial,Naspur,2019-10-01,24.6,32.6
47,Mancherial,Jaipur,2019-10-01,24.0,32.7
48,Mancherial,Bhimaram,2019-10-01,23.6,32.6
49,Mancherial,Chennur,2019-10-01,23.6,30.85
50,Mancherial,Kotapalle,2019-10-01,23.7666666666667,31.0
51,Nirmal,Kubeer,2019-10-01,22.3,32.4
52,Nirmal,Tanur,2019-10-01,23.5,32.0
53,Nirmal,Basar,2019-10-01,23.9,32.3
54,Nirmal,Mudhole,2019-10-01,23.5,31.85
55,Nirmal,Bhainsa,2019-10-01,23.65,31.45
56,Nirmal,Kuntala,2019-10-01,22.8,31.5
57,Nirmal,Narsapur_G,2019-10-01,23.1,32.0
58,Nirmal,Lokeswaram,2019-10-01,24.3,33.3
59,Nirmal,Dilawarpur,2019-10-01,23.4,31.7
60,Nirmal,Sarangapur,2019-10-01,23.35,31.85
61,Nirmal,Nirmal,2019-10-01,24.2,32.6
