district,mandal,date,temp_min,temp_max
Adilabad,Bheempoor,2020-07-01,25.2,36.7
Adilabad,Bheempoor,2020-07-02,26.4,36.7
Adilabad,Bheempoor,2020-07-03,25.5,36.3
Adilabad,Bheempoor,2020-07-04,24.9,35.1
Adilabad,Bheempoor,2020-07-05,24.8,32.8
Adilabad,Bheempoor,2020-07-06,24.5,33.3
Adilabad,Bheempoor,2020-07-07,26.3,30.8
Adilabad,Bheempoor,2020-07-08,24.1,32.9
Adilabad,Bheempoor,2020-07-09,25.6,35.4
Adilabad,Bheempoor,2020-07-10,25.4,34.4
Adilabad,Bheempoor,2020-07-11,26.7,32.4
Adilabad,Bheempoor,2020-07-12,27.6,34.8
Adilabad,Bheempoor,2020-07-13,24.5,36.1
Adilabad,Bheempoor,2020-07-14,26.0,33.8
Adilabad,Bheempoor,2020-07-15,24.6,33.1
Adilabad,Bheempoor,2020-07-16,25.1,27.8
Adilabad,Bheempoor,2020-07-17,24.9,31.3
Adilabad,Bheempoor,2020-07-18,25.1,32.5
Adilabad,Bheempoor,2020-07-19,26.8,35.5
Adilabad,Bheempoor,2020-07-20,25.3,35.3
Adilabad,Bheempoor,2020-07-21,26.1,32.6
Adilabad,Bheempoor,2020-07-22,25.9,34.4
Adilabad,Bheempoor,2020-07-23,22.5,35.8
Adilabad,Bheempoor,2020-07-24,24.1,26.8
Adilabad,Bheempoor,2020-07-25,24.8,32.3
Adilabad,Bheempoor,2020-07-26,24.7,33.3
Adilabad,Bheempoor,2020-07-27,24.7,33.5
Adilabad,Bheempoor,2020-07-28,25.6,36.9
Adilabad,Bheempoor,2020-07-29,23.2,35.6
Adilabad,Bheempoor,2020-07-30,25.2,33.2
Adilabad,Bheempoor,2020-07-31,26.1,34.0
Adilabad,Bheempoor,2020-08-01,24.9,35.2
Adilabad,Bheempoor,2020-08-02,24.8,33.0
Adilabad,Bheempoor,2020-08-03,25.6,36.2
Adilabad,Bheempoor,2020-08-04,25.8,31.8
Adilabad,Bheempoor,2020-08-05,25.7,31.3
Adilabad,Bheempoor,2020-08-06,25.7,31.3
Adilabad,Bheempoor,2020-08-07,26.6,31.5
Adilabad,Bheempoor,2020-08-08,27.0,34.1
Adilabad,Bheempoor,2020-08-09,26.2,31.8
Adilabad,Bheempoor,2020-08-10,24.4,28.0
Adilabad,Bheempoor,2020-08-11,23.6,26.9
Adilabad,Bheempoor,2020-08-12,25.1,27.9
Adilabad,Bheempoor,2020-08-13,23.6,30.1
Adilabad,Bheempoor,2020-08-14,24.3,27.8
Adilabad,Bheempoor,2020-08-15,23.7,29.9
Adilabad,Bheempoor,2020-08-16,24.8,28.1
Adilabad,Bheempoor,2020-08-17,23.8,25.7
Adilabad,Bheempoor,2020-08-18,23.9,25.5
Adilabad,Bheempoor,2020-08-19,24.1,26.4
Adilabad,Bheempoor,2020-08-20,24.2,29.6
Adilabad,Bheempoor,2020-08-21,24.6,28.7
Adilabad,Bheempoor,2020-08-22,25.1,29.4
Adilabad,Bheempoor,2020-08-23,25.5,31.5
Adilabad,Bheempoor,2020-08-24,22.9,33.1
Adilabad,Bheempoor,2020-08-25,23.5,32.9
Adilabad,Bheempoor,2020-08-26,24.5,34.1
Adilabad,Bheempoor,2020-08-27,25.0,31.3
Adilabad,Bheempoor,2020-08-28,24.7,27.5
Adilabad,Bheempoor,2020-08-29,24.8,28.0
Adilabad,Bheempoor,2020-08-30,22.9,30.1
Adilabad,Bheempoor,2020-08-31,23.1,33.6
Adilabad,Jainad,2020-07-01,25.55,34.85
Adilabad,Jainad,2020-07-02,26.8,35.05
Adilabad,Jainad,2020-07-03,26.65,36.45
Adilabad,Jainad,2020-07-04,26.4,34.85
Adilabad,Jainad,2020-07-05,26.25,32.3
Adilabad,Jainad,2020-07-06,24.05,33.65
Adilabad,Jainad,2020-07-07,26.5,29.7
Adilabad,Jainad,2020-07-08,23.95,33.2
Adilabad,Jainad,2020-07-09,25.75,36.05
Adilabad,Jainad,2020-07-10,24.4,34.1
Adilabad,Jainad,2020-07-11,25.4,31.55
Adilabad,Jainad,2020-07-12,26.7,34.65
Adilabad,Jainad,2020-07-13,24.2,35.45
Adilabad,Jainad,2020-07-14,25.45,33.5
Adilabad,Jainad,2020-07-15,24.45,32.9
Adilabad,Jainad,2020-07-16,24.75,27.65
Adilabad,Jainad,2020-07-17,24.75,31.95
Adilabad,Jainad,2020-07-18,25.4,32.95
Adilabad,Jainad,2020-07-19,26.75,34.45
Adilabad,Jainad,2020-07-20,25.4,35.65
Adilabad,Jainad,2020-07-21,25.6,33.3
Adilabad,Jainad,2020-07-22,25.45,34.95
Adilabad,Jainad,2020-07-23,22.4,33.95
Adilabad,Jainad,2020-07-24,23.6,27.45
Adilabad,Jainad,2020-07-25,24.9,33.4
Adilabad,Jainad,2020-07-26,24.45,33.95
Adilabad,Jainad,2020-07-27,25.45,34.75
Adilabad,Jainad,2020-07-28,26.3,36.95
Adilabad,Jainad,2020-07-29,23.45,35.5
Adilabad,Jainad,2020-07-30,25.35,32.75
Adilabad,Jainad,2020-07-31,26.05,34.25
Adilabad,Jainad,2020-08-01,25.6,35.05
Adilabad,Jainad,2020-08-02,25.25,33.95
Adilabad,Jainad,2020-08-03,25.5,36.95
Adilabad,Jainad,2020-08-04,25.9,31.9
Adilabad,Jainad,2020-08-05,25.8,31.1
Adilabad,Jainad,2020-08-06,25.5,32.55
Adilabad,Jainad,2020-08-07,26.1,32.5
Adilabad,Jainad,2020-08-08,26.85,35.15
Adilabad,Jainad,2020-08-09,26.0,31.9
Adilabad,Jainad,2020-08-10,23.95,27.9
Adilabad,Jainad,2020-08-11,23.2,26.15
Adilabad,Jainad,2020-08-12,24.95,27.6
Adilabad,Jainad,2020-08-13,23.35,29.85
Adilabad,Jainad,2020-08-14,24.2,27.6
Adilabad,Jainad,2020-08-15,23.4,28.5
Adilabad,Jainad,2020-08-16,24.55,27.65
Adilabad,Jainad,2020-08-17,23.5,24.95
Adilabad,Jainad,2020-08-18,23.7,25.4
Adilabad,Jainad,2020-08-19,23.9,25.95
Adilabad,Jainad,2020-08-20,23.85,29.35
Adilabad,Jainad,2020-08-21,24.0,28.35
Adilabad,Jainad,2020-08-22,24.55,29.2
Adilabad,Jainad,2020-08-23,25.25,31.8
Adilabad,Jainad,2020-08-24,23.85,33.75
Adilabad,Jainad,2020-08-25,24.45,33.85
Adilabad,Jainad,2020-08-26,24.8,34.25
Adilabad,Jainad,2020-08-27,25.1,31.7
Adilabad,Jainad,2020-08-28,24.35,27.25
Adilabad,Jainad,2020-08-29,25.1,28.35
Adilabad,Jainad,2020-08-30,23.35,30.6
Adilabad,Jainad,2020-08-31,23.7,33.55
Adilabad,Bela,2020-07-01,25.4,35.45
Adilabad,Bela,2020-07-02,26.6,35.5
Adilabad,Bela,2020-07-03,25.95,35.8
Adilabad,Bela,2020-07-04,26.25,34.45
Adilabad,Bela,2020-07-05,26.1,31.4
Adilabad,Bela,2020-07-06,24.0,34.05
Adilabad,Bela,2020-07-07,25.65,29.1
Adilabad,Bela,2020-07-08,24.15,33.05
Adilabad,Bela,2020-07-09,25.3,35.75
Adilabad,Bela,2020-07-10,24.5,33.8
Adilabad,Bela,2020-07-11,25.45,30.9
Adilabad,Bela,2020-07-12,27.25,34.6
Adilabad,Bela,2020-07-13,24.2,35.5
Adilabad,Bela,2020-07-14,26.1,33.8
Adilabad,Bela,2020-07-15,25.1,33.3
Adilabad,Bela,2020-07-16,24.65,27.95
Adilabad,Bela,2020-07-17,24.75,31.0
Adilabad,Bela,2020-07-18,25.9,32.9
Adilabad,Bela,2020-07-19,27.05,34.85
Adilabad,Bela,2020-07-20,25.45,35.5
Adilabad,Bela,2020-07-21,25.2,32.9
Adilabad,Bela,2020-07-22,25.7,35.1
Adilabad,Bela,2020-07-23,23.05,34.45
